Metric,Value
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.304264
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.840097
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,79
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2980666908769308
clock__skew__worst_setup,0.28092290400156583
timing__hold__ws,0.11313827972491781
timing__setup__ws,13.8018560487006
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113138
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.216868
timing__setup_r2r_vio__count,0
timing__unannotated_net__count,79
timing__unannotated_net_filtered__count,0
klayout__antenna_error__count,0
klayout__density_error__count,34
